N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,코웨이,"77,000","1,300",-1.66%,500,"56,826","73,800",59.78,"53,589",13.34,31.51,
61,강원랜드,"26,400",400,-1.49%,500,"56,480","213,940",19.21,"331,173",-60.00,-7.92,
62,현대건설,"50,400","1,200",-2.33%,"5,000","56,123","111,356",21.46,"272,720",45.49,1.84,
63,현대제철,"41,600","1,800",-4.15%,"5,000","55,513","133,446",20.74,"499,706",22.98,-2.59,
64,미래에셋증권,"8,730",80,-0.91%,"5,000","55,463","635,316",13.10,"365,812",6.63,8.94,
65,맥쿼리인프라,"13,550",50,+0.37%,0,"54,857","404,846",14.14,"270,386",N/A,N/A,
66,KODEX 200,"38,825",340,-0.87%,0,"54,025","139,150",2.22,"2,214,108",N/A,N/A,
67,금호석유,"167,500",500,-0.30%,"5,000","51,033","30,468",19.98,"109,724",3.97,20.18,
68,한국타이어앤테크놀로지,"41,050","1,600",-3.75%,500,"50,851","123,875",41.78,"184,291",8.24,5.12,
69,LG이노텍,"212,500","4,000",-1.85%,"5,000","50,293","23,667",26.62,"81,043",9.20,10.20,
70,에스디바이오센서,"47,450","1,200",-2.47%,500,"49,002","103,271",3.41,"223,266",7.19,139.97,
71,현대중공업지주,"61,300",900,-1.45%,"1,000","48,423","78,993",17.16,"105,935",-14.16,-8.12,
72,한국금융지주,"85,400",400,-0.47%,"5,000","47,590","55,726",35.07,"89,018",4.06,16.27,
73,일진머티리얼즈,"102,500",500,-0.49%,500,"47,264","46,111",11.84,"241,325",99.32,7.23,
74,메리츠금융지주,"35,050",300,-0.85%,500,"46,971","134,011",8.41,"56,863",7.59,16.06,
75,오리온,"116,500","1,000",-0.85%,500,"46,060","39,536",38.94,"21,976",19.11,15.50,
76,이마트,"163,000","4,000",-2.40%,"5,000","45,438","27,876",33.85,"68,895",8.05,4.05,
77,삼성엔지니어링,"23,100",500,-2.12%,"5,000","45,276","196,000",32.78,"638,872",14.34,17.32,
78,유한양행,"60,200",900,-1.47%,"1,000","42,124","69,973",18.09,"73,563",43.78,11.06,
79,삼성증권,"46,500",650,-1.38%,"5,000","41,524","89,300",30.02,"124,821",4.54,9.89,
80,DB손해보험,"58,200","1,300",-2.18%,500,"41,206","70,800",42.76,"67,423",5.97,9.08,
81,아모레G,"49,200","1,300",-2.57%,500,"40,569","82,458",16.38,"55,137",31.34,0.31,
82,쌍용C&E,"8,040",10,+0.12%,100,"40,510","503,860",3.18,"460,993",25.94,7.92,
83,한국가스공사,"43,100",650,-1.49%,"5,000","39,787","92,313",10.16,"140,575",15.79,-2.24,
84,한미사이언스,"59,000",800,+1.37%,500,"39,710","67,305",1.68,"149,649",129.96,3.47,
85,삼성카드,"34,000",250,-0.73%,"5,000","39,392","115,859",7.91,"74,161",8.59,5.69,
86,두산밥캣,"39,250",850,-2.12%,500,"39,348","100,249",25.71,"83,672",10.33,6.15,
87,GS,"41,700","1,100",-2.57%,"5,000","38,746","92,915",19.32,"123,658",4.74,-2.82,
88,한솔케미칼,"341,500","9,500",+2.86%,"5,000","38,710","11,335",42.88,"51,002",27.19,24.50,
89,NH투자증권,"12,950",50,-0.38%,"5,000","38,466","297,034",17.68,"211,819",4.61,10.32,
90,한진칼,"56,100",500,-0.88%,"2,500","37,440","66,739",14.68,"27,959",-38.29,-19.55,
91,삼성중공업,"5,870",90,-1.51%,"1,000","36,981","630,000",13.31,"2,298,447",-2.57,-33.06,
92,현대차2우B,"100,500",500,-0.50%,"5,000","36,668","36,485",61.06,"23,559",7.28,N/A,
93,메리츠화재,"29,350",100,-0.34%,500,"35,403","120,625",10.55,"51,447",6.70,16.91,
94,GS건설,"41,100","1,050",-2.49%,"5,000","35,174","85,581",25.92,"300,413",10.84,7.68,
95,롯데지주,"33,350",250,-0.74%,200,"34,987","104,909",8.03,"54,902",47.64,-3.03,
96,두산퓨얼셀,"53,400",400,-0.74%,100,"34,974","65,494",15.80,"349,369",890.00,4.18,
97,동서,"34,450",50,+0.15%,500,"34,347","99,700",3.18,"44,807",31.78,8.61,
98,GS리테일,"32,500",0,0.00%,"1,000","34,033","104,718",9.50,"60,973",17.84,7.50,
99,한전기술,"87,400",200,-0.23%,200,"33,404","38,220",4.44,"1,100,744",161.55,N/A,
100,한미약품,"276,000","3,000",+1.10%,"2,500","33,336","12,078",13.42,"72,210",144.35,1.65,
101,현대오토에버,"120,000","1,000",-0.83%,500,"32,909","27,424",1.84,"36,184",43.29,11.09,
102,CJ대한통운,"143,500","1,500",-1.03%,"5,000","32,736","22,812",22.44,"6,985",94.04,3.89,
103,에스원,"82,700","1,000",-1.19%,500,"31,425","37,999",53.69,"24,113",21.44,10.48,
104,메리츠증권,"4,595",60,-1.29%,"1,000","31,326","681,731",14.04,"519,983",4.90,13.08,
105,호텔신라,"79,200","1,700",-2.10%,"5,000","31,085","39,248",13.29,"395,606",-24.09,-36.74,
106,팬오션,"5,800",100,-1.69%,"1,000","31,005","534,570",10.97,"2,074,888",17.79,3.25,
107,만도,"64,200",200,+0.31%,"1,000","30,146","46,957",23.15,"281,834",12.71,0.37,
108,한화시스템,"15,900",200,-1.24%,"5,000","30,038","188,919",2.35,"362,546",17.25,9.35,
109,현대미포조선,"74,800","1,500",-1.97%,"5,000","29,877","39,942",10.53,"224,644",-16.44,-0.84,
110,녹십자,"254,000","7,500",-2.87%,"5,000","29,684","11,687",21.07,"51,811",31.76,7.48,
111,한화생명,"3,400",75,-2.16%,"5,000","29,530","868,530",8.12,"1,719,346",5.39,1.90,
112,효성첨단소재,"648,000","34,000",-4.99%,"5,000","29,030","4,480",11.82,"84,162",19.75,0.03,
113,롯데쇼핑,"102,000","3,500",-3.32%,"5,000","28,855","28,289",10.78,"52,338",-4.99,-7.70,
114,OCI,"120,500","3,500",-2.82%,"5,000","28,738","23,849",20.27,"166,079",99.26,-9.89,
115,한국항공우주,"29,400",300,-1.01%,"5,000","28,658","97,475",12.41,"185,772",145.54,6.39,
116,BGF리테일,"164,000","4,000",-2.38%,"1,000","28,346","17,284",32.75,"10,536",20.20,18.60,
117,CJ,"96,500","1,300",-1.33%,"5,000","28,156","29,177",17.80,"23,820",65.96,1.89,
118,키움증권,"106,000","1,000",-0.93%,"5,000","27,793","26,220",25.37,"29,679",2.85,27.63,
119,KCC,"309,000","9,500",-2.98%,"5,000","27,459","8,886",14.40,"25,591",3.22,12.79,
120,LG화학우,"356,500","5,500",-1.52%,"5,000","27,411","7,689",70.40,"2,751",9.60,N/A,
121,BNK금융지주,"8,390",290,-3.34%,"5,000","27,346","325,935",39.31,"1,205,683",4.04,6.11,
122,신풍제약,"49,900","1,200",-2.35%,500,"26,440","52,985",8.16,"377,762",831.67,1.72,
123,제일기획,"22,900",550,-2.35%,200,"26,344","115,041",33.21,"174,770",14.09,16.11,
124,DB하이텍,"59,000",200,+0.34%,"5,000","26,195","44,399",16.76,"549,508",15.68,23.07,
125,솔루스첨단소재,"84,100","2,600",+3.19%,100,"25,726","30,590",8.30,"340,143",-219.01,-5.10,
126,씨에스윈드,"61,000",600,-0.97%,500,"25,725","42,171",10.99,"296,322",43.26,8.19,
127,대우조선해양,"23,800",200,-0.83%,"5,000","25,535","107,291",5.46,"154,821",-1.76,2.27,
128,포스코인터내셔널,"20,550",200,-0.96%,"5,000","25,354","123,375",7.36,"354,419",8.60,7.69,
129,DL이앤씨,"129,500","3,500",-2.63%,"5,000","25,070","19,359",26.55,"92,368",N/A,N/A,
130,대우건설,"6,020",80,-1.31%,"5,000","25,020","415,623",11.23,"765,469",5.48,11.06,
131,효성티앤씨,"570,000","35,000",-5.79%,"5,000","24,668","4,328",22.73,"30,972",4.88,25.10,
132,현대차우,"100,500",0,0.00%,"5,000","24,478","24,357",58.85,"22,723",7.28,N/A,
133,한화,"32,300",0,0.00%,"5,000","24,212","74,959",17.18,"95,482",6.21,4.79,
134,더존비즈온,"79,400","1,700",-2.10%,500,"24,124","30,383",40.61,"92,102",38.69,15.09,
135,일진하이솔루스,"65,900","1,400",-2.08%,500,"23,930","36,313",4.15,"66,188",122.95,34.27,
136,현대로템,"21,350",400,-1.84%,"5,000","23,302","109,142",3.68,"531,689",68.65,2.84,
137,하이트진로,"33,200",600,-1.78%,"5,000","23,284","70,134",4.62,"183,120",33.23,8.23,
138,신세계,"231,000","4,500",-1.91%,"5,000","22,742","9,845",25.08,"35,099",28.19,-2.81,
139,TIGER 차이나전기차SOLACTIVE,"19,840",170,+0.86%,0,"22,713","114,480",0.33,"2,491,700",N/A,N/A,
140,휠라홀딩스,"36,950","1,450",-3.78%,"1,000","22,448","60,752",48.37,"274,613",9.32,10.94,
141,코오롱인더,"81,500","2,400",-2.86%,"5,000","22,428","27,519",21.04,"245,620",16.32,9.70,
142,현대해상,"25,050","1,050",-4.02%,500,"22,395","89,400",27.33,"502,913",5.80,7.13,
143,KODEX 200선물인버스2X,"2,300",40,+1.77%,0,"22,379","973,000",4.53,"114,105,780",N/A,N/A,
144,KODEX 단기채권,"102,945",5,0.00%,0,"21,530","20,914",0.00,"2,366",N/A,N/A,
145,현대위아,"78,100",100,+0.13%,"5,000","21,239","27,195",6.62,"196,344",20.90,1.96,
146,두산,"128,500","3,000",+2.39%,"5,000","21,233","16,524",10.79,"100,401",-210.31,-34.34,
147,한화에어로스페이스,"41,850",450,-1.06%,"5,000","21,189","50,630",17.93,"215,498",8.09,4.78,
148,한샘,"89,700","2,900",-3.13%,"1,000","21,110","23,534",19.14,"106,788",25.39,10.83,
149,롯데정밀화학,"81,400","5,300",-6.11%,"5,000","21,001","25,800",21.14,"485,075",8.56,12.65,
150,효성,"99,500",200,-0.20%,"5,000","20,966","21,071",9.06,"33,389",13.58,-2.26,
151,TIGER 200,"38,845",340,-0.87%,0,"20,879","53,750",0.00,"601,347",N/A,N/A,
152,SK케미칼,"175,000","3,000",-1.69%,"5,000","20,565","11,751",15.05,"57,452",33.22,30.49,
153,한전KPS,"43,550","1,200",-2.68%,200,"19,598","45,000",7.56,"322,941",20.06,8.23,
154,LS,"60,500","1,500",-2.42%,"5,000","19,481","32,200",14.57,"56,923",7.85,3.94,
155,대한전선,"2,270",30,-1.30%,500,"19,442","856,473",2.32,"2,524,871",-119.47,0.92,
156,영원무역,"43,100",700,-1.60%,500,"19,098","44,311",27.38,"47,660",10.19,8.03,
157,현대엘리베이,"46,700",750,-1.58%,"5,000","19,061","40,815",27.02,"79,833",19.78,9.78,
158,대웅,"32,750",250,+0.77%,500,"19,041","58,142",4.07,"30,311",20.25,15.10,
159,현대백화점,"78,700","2,200",-2.72%,"5,000","18,418","23,402",19.19,"97,639",14.22,1.65,
160,후성,"19,750",500,-2.47%,500,"18,290","92,607",5.76,"1,077,506",182.87,2.79,
161,LS ELECTRIC,"58,200","1,300",-2.18%,"5,000","17,460","30,000",18.55,"57,232",19.03,6.15,
162,오뚜기,"472,500","1,500",-0.32%,"5,000","17,350","3,672",12.51,"1,861",19.76,7.93,
163,농심,"277,000","4,000",-1.42%,"5,000","16,849","6,083",12.70,"8,194",15.21,7.50,
164,대웅제약,"143,500","1,000",+0.70%,"2,500","16,627","11,587",7.00,"10,613",560.55,2.38,
165,TIGER 단기통안채,"100,395",0,0.00%,0,"16,605","16,540",0.74,529,N/A,N/A,
166,DGB금융지주,"9,790",310,-3.07%,"5,000","16,559","169,146",50.05,"335,716",3.89,6.93,
167,KODEX 레버리지,"22,910",400,-1.72%,0,"16,495","72,000",2.39,"13,988,210",N/A,N/A,
168,한국앤컴퍼니,"17,350",400,-2.25%,500,"16,471","94,935",9.98,"67,809",6.64,5.08,
169,JB금융지주,"8,350",250,-2.91%,"5,000","16,448","196,983",40.88,"322,275",3.63,10.06,
170,KODEX 삼성그룹,"9,760",70,-0.71%,0,"16,299","167,000",0.37,"83,942",N/A,N/A,
171,KODEX 단기채권PLUS,"103,215",5,0.00%,0,"16,290","15,783",0.00,"280,850",N/A,N/A,
172,HDC현대산업개발,"24,550",950,-3.73%,"5,000","16,180","65,907",10.70,"344,411",8.76,8.85,
173,에스엘,"33,450","1,250",-3.60%,500,"16,124","48,203",16.76,"105,351",10.58,4.74,
174,한미반도체,"32,600","1,200",+3.82%,200,"16,124","49,460",5.74,"420,234",21.73,21.03,
175,TIGER 미국나스닥100,"86,720","1,095",+1.28%,0,"16,043","18,500",0.01,"125,610",N/A,N/A,
176,아시아나항공,"21,400",450,-2.06%,"5,000","15,924","74,412",8.40,"372,570",-23.26,-43.83,
177,금호타이어,"5,510",10,+0.18%,"5,000","15,828","287,260",4.03,"158,547",74.46,-6.74,
178,KODEX MSCI Korea TR,"12,435",110,-0.88%,0,"15,295","123,000",0.07,"378,834",N/A,N/A,
179,F&F홀딩스,"39,000","2,050",+5.55%,500,"15,255","39,114",0.81,"245,628",0.29,16.59,
180,동국제강,"15,900",950,-5.64%,"5,000","15,174","95,433",23.32,"822,164",5.17,3.35,
181,NHN,"77,300",100,+0.13%,500,"15,124","19,565",12.54,"46,760",69.02,1.35,
182,KODEX 종합채권(AA-이상)액티브,"107,195",115,+0.11%,0,"14,931","13,929",0.00,556,N/A,N/A,
183,명신산업,"28,200",500,-1.74%,500,"14,797","52,470",2.76,"209,392",-12.23,-67.39,
184,동원시스템즈,"50,500","1,200",-2.32%,"5,000","14,740","29,188",13.48,"18,322",24.00,10.97,
185,롯데렌탈,"39,400",700,-1.75%,"5,000","14,434","36,634",1.16,"53,222",20.11,6.73,
